banana,4
date,11
feta_cheese,4
lima_bean,1
celery,13
white_wine,12
wheat_bread,1
bean,10
ginger,84
sage,1
apple,6
sesame_seed,12
chicken,71
cardamom,19
kidney_bean,2
kumquat,2
rosemary,4
fig,2
hazelnut,4
chicken_broth,58
smoke,5
apricot,23
shrimp,6
artichoke,1
citrus,1
cabbage,4
pecan,2
tomato,100
goat_cheese,2
peppermint_oil,1
peanut_butter,13
cocoa,2
plum,12
beef,31
rose,5
pear,4
cucumber,8
turnip,9
almond,44
lobster,2
rutabaga,2
cottage_cheese,1
chive,1
scallion,16
egg,48
cream_cheese,1
mussel,1
yogurt,7
pineapple,3
passion_fruit,1
roasted_beef,1
pistachio,6
lemon,57
wine,4
green_bell_pepper,13
saffron,38
meat,7
garlic,160
bread,22
tabasco_pepper,1
cheese,3
pumpkin,2
lemon_peel,8
olive,44
carrot,49
turmeric,59
okra,2
peach,1
lime_juice,10
zucchini,25
bell_pepper,103
red_wine,18
juniper_berry,1
vinegar,29
vanilla,8
marjoram,5
sunflower_oil,1
raisin,47
parmesan_cheese,5
butter,68
turkey,2
mango,4
mushroom,3
beef_broth,7
lettuce,2
bone_oil,2
honey,42
octopus,1
pea,9
fennel,16
black_pepper,98
lemongrass,1
cilantro,80
radish,2
seed,22
nut,7
brandy,3
parsnip,3
orange_flower,1
cane_molasses,11
pimento,2
brown_rice,1
lard,7
flower,2
dill,2
onion,189
caraway,26
parsley,70
milk,22
rum,1
lemon_juice,81
mustard,8
fish,21
condiment,2
roasted_peanut,6
orange,15
broccoli,3
fruit,1
soybean,1
brassica,3
cumin,166
bacon,1
cream,14
pork,1
cauliflower,4
pepper,67
starch,5
black_bean,1
anise,2
lentil,10
cinnamon,114
gelatin,3
rice,25
cider,1
wheat,114
macaroni,9
basil,8
oregano,4
haddock,2
cassava,3
mint,33
quince,2
vegetable,14
thyme,17
nutmeg,12
mace,2
vegetable_oil,60
roasted_sesame_seed,3
tuna,2
peanut_oil,7
squash,15
squid,1
salmon,2
coriander,104
orange_juice,12
beet,3
currant,7
avocado,1
walnut,7
sherry,3
potato,20
corn,7
coconut,9
peanut,3
leek,5
pork_sausage,1
papaya,1
lamb,46
cod,8
chickpea,39
lime_peel_oil,3
thai_pepper,1
prawn,1
cranberry,2
tamarind,3
grape_juice,3
barley,4
sweet_potato,11
rye_flour,1
yeast,9
veal,2
white_bread,2
soy_sauce,3
whole_grain_wheat_flour,4
chervil,2
coffee,1
fenugreek,19
milk_fat,5
lime,4
shallot,8
anise_seed,1
star_anise,1
orange_peel,7
yam,2
bay,15
cayenne,116
olive_oil,196
